age,gender,category,purchase_amount,location,size,season,review_rating,subscription,payment_method,shipping_type,discount_apply,previous_purchase,preffered_payment,freq_purchase,cluster
38,Male,Outerwear,96.0,Midwest,M,Winter,2.6,Yes,Bank Transfer,2-Day Shipping,Yes,43.0,Bank Transfer,Every 3 Months,1
19,Male,Footwear,72.0,Northeast,XL,Summer,3.3,Yes,Credit Card,Store Pickup,Yes,24.0,Credit Card,Every 3 Months,0
67,Male,Footwear,96.0,Southeast,L,Summer,2.6,Yes,PayPal,Express,Yes,36.0,Credit Card,Every 3 Months,1
19,Male,Clothing,28.0,Southeast,S,Spring,4.0,Yes,Bank Transfer,2-Day Shipping,Yes,21.0,Credit Card,Every 3 Months,3
36,Male,Clothing,40.0,Southwest,M,Summer,4.1,Yes,Debit Card,Standard,Yes,34.0,Bank Transfer,Weekly,2
52,Male,Outerwear,32.0,West,S,Spring,4.4,Yes,Cash,Standard,Yes,42.0,Bank Transfer,Every 3 Months,2
53,Male,Accessories,95.0,West,M,Winter,4.5,Yes,Credit Card,Next Day Air,Yes,2.0,Debit Card,Bi-Weekly,0
24,Male,Clothing,41.0,West,L,Spring,3.7,Yes,Venmo,2-Day Shipping,Yes,47.0,Cash,Bi-Weekly,2
52,Male,Footwear,53.0,Midwest,M,Fall,3.7,Yes,Debit Card,2-Day Shipping,Yes,44.0,Debit Card,Fortnightly,2
33,Male,Clothing,47.0,West,M,Fall,3.5,Yes,Credit Card,Free Shipping,Yes,35.0,Credit Card,Monthly,2
47,Male,Outerwear,83.0,West,XL,Fall,3.6,Yes,Bank Transfer,Next Day Air,Yes,15.0,Cash,Quarterly,0
25,Male,Accessories,48.0,Southeast,L,Summer,2.9,Yes,Venmo,Express,Yes,29.0,Credit Card,Monthly,2
44,Male,Accessories,99.0,Southeast,S,Winter,4.6,Yes,PayPal,Standard,Yes,18.0,Credit Card,Every 3 Months,0
61,Male,Outerwear,87.0,Southwest,M,Winter,4.4,Yes,Cash,2-Day Shipping,Yes,13.0,Venmo,Every 3 Months,0
37,Male,Clothing,62.0,Southeast,M,Fall,4.5,Yes,PayPal,Standard,Yes,46.0,Credit Card,Weekly,1
58,Male,Clothing,76.0,West,S,Spring,4.6,Yes,Bank Transfer,Free Shipping,Yes,28.0,Credit Card,Weekly,1
37,Male,Footwear,100.0,Midwest,L,Fall,3.8,Yes,PayPal,Free Shipping,Yes,48.0,PayPal,Monthly,1
32,Male,Accessories,73.0,Southeast,S,Spring,3.6,Yes,Venmo,Express,Yes,43.0,Venmo,Every 3 Months,1
21,Male,Footwear,92.0,Southeast,M,Winter,4.8,Yes,PayPal,Store Pickup,Yes,37.0,Cash,Annually,1
20,Male,Clothing,67.0,Northeast,XL,Spring,2.6,Yes,Cash,Next Day Air,Yes,20.0,Bank Transfer,Annually,0
26,Male,Clothing,40.0,Midwest,XL,Summer,3.7,Yes,Cash,Express,Yes,33.0,Debit Card,Quarterly,2
62,Male,Accessories,98.0,Midwest,M,Fall,2.7,Yes,PayPal,Express,Yes,31.0,Cash,Fortnightly,1
27,Male,Outerwear,85.0,Midwest,XL,Spring,4.6,Yes,Venmo,Express,Yes,50.0,Credit Card,Bi-Weekly,1
51,Male,Clothing,67.0,Southwest,L,Winter,4.8,Yes,Credit Card,Next Day Air,Yes,35.0,Credit Card,Quarterly,1
54,Male,Footwear,89.0,Southeast,L,Winter,4.0,Yes,Debit Card,Next Day Air,Yes,22.0,Venmo,Bi-Weekly,0
55,Male,Accessories,24.0,Northeast,L,Spring,4.4,Yes,Bank Transfer,2-Day Shipping,Yes,1.0,PayPal,Monthly,3
69,Male,Accessories,96.0,Northeast,M,Fall,3.6,Yes,Bank Transfer,Next Day Air,Yes,4.0,Bank Transfer,Annually,0
64,Male,Outerwear,35.0,Midwest,L,Summer,3.7,Yes,Cash,Standard,Yes,31.0,Credit Card,Monthly,2
28,Male,Footwear,67.0,Southeast,L,Winter,3.1,Yes,Cash,Next Day Air,Yes,46.0,PayPal,Fortnightly,1
70,Male,Clothing,79.0,West,L,Spring,3.4,Yes,Bank Transfer,Next Day Air,Yes,32.0,Bank Transfer,Bi-Weekly,1
58,Male,Clothing,85.0,Southeast,M,Spring,2.6,Yes,Cash,Next Day Air,Yes,43.0,Bank Transfer,Fortnightly,1
56,Male,Accessories,26.0,Northeast,M,Summer,4.0,Yes,Bank Transfer,Standard,Yes,26.0,Venmo,Fortnightly,2
26,Male,Accessories,75.0,Northeast,L,Summer,5.0,Yes,PayPal,Free Shipping,Yes,9.0,Credit Card,Annually,0
37,Male,Accessories,65.0,Southeast,M,Spring,4.3,Yes,Credit Card,Free Shipping,Yes,28.0,PayPal,Bi-Weekly,1
44,Male,Accessories,54.0,Northeast,L,Winter,3.1,Yes,Debit Card,Next Day Air,Yes,20.0,PayPal,Quarterly,3
70,Male,Outerwear,95.0,Northeast,S,Summer,3.7,Yes,Venmo,Store Pickup,Yes,9.0,Cash,Weekly,0
53,Male,Clothing,94.0,West,M,Spring,3.8,Yes,Cash,Standard,Yes,48.0,Debit Card,Every 3 Months,1
55,Male,Footwear,86.0,Southeast,S,Spring,3.4,Yes,PayPal,Free Shipping,Yes,12.0,Venmo,Annually,0
50,Male,Footwear,32.0,Midwest,L,Summer,4.6,Yes,Bank Transfer,Express,Yes,29.0,Cash,Fortnightly,2
50,Male,Clothing,45.0,Southeast,L,Fall,4.8,Yes,Bank Transfer,2-Day Shipping,Yes,27.0,Cash,Bi-Weekly,2
38,Male,Outerwear,76.0,West,M,Fall,4.3,Yes,Debit Card,Express,Yes,44.0,Cash,Annually,1
64,Male,Accessories,84.0,Southeast,L,Summer,4.0,Yes,PayPal,Express,Yes,32.0,Bank Transfer,Annually,1
19,Male,Clothing,72.0,Southeast,M,Winter,4.2,Yes,Cash,Standard,Yes,11.0,Cash,Fortnightly,0
40,Male,Accessories,40.0,West,L,Spring,4.8,Yes,Credit Card,2-Day Shipping,Yes,44.0,Cash,Fortnightly,2
57,Male,Clothing,89.0,Southwest,L,Fall,3.1,Yes,Debit Card,Free Shipping,Yes,46.0,Cash,Weekly,1
44,Male,Clothing,86.0,West,M,Spring,3.1,Yes,PayPal,Next Day Air,Yes,50.0,PayPal,Annually,1
49,Male,Clothing,54.0,West,M,Winter,3.6,Yes,Cash,Next Day Air,Yes,45.0,Venmo,Every 3 Months,2
43,Male,Clothing,36.0,Southeast,L,Spring,3.9,Yes,Bank Transfer,Store Pickup,Yes,48.0,Cash,Every 3 Months,2
24,Male,Clothing,89.0,Southeast,M,Winter,4.8,Yes,Venmo,Next Day Air,Yes,26.0,Credit Card,Weekly,0
20,Male,Accessories,32.0,West,M,Spring,4.7,Yes,Venmo,Standard,Yes,21.0,Credit Card,Fortnightly,3
24,Male,Clothing,67.0,Northeast,XL,Summer,4.2,Yes,Cash,2-Day Shipping,Yes,49.0,PayPal,Bi-Weekly,1
44,Male,Accessories,39.0,Southeast,L,Fall,3.7,Yes,Credit Card,Next Day Air,Yes,13.0,PayPal,Fortnightly,3
28,Male,Clothing,29.000000000000004,Northeast,L,Summer,3.9,Yes,PayPal,Standard,Yes,46.0,Credit Card,Weekly,2
30,Male,Accessories,58.0,West,M,Fall,4.7,Yes,Bank Transfer,2-Day Shipping,Yes,42.0,PayPal,Weekly,2
52,Male,Clothing,65.0,West,M,Winter,2.5,Yes,Bank Transfer,Next Day Air,Yes,25.0,Venmo,Annually,0
43,Male,Accessories,94.0,Southwest,L,Fall,4.9,Yes,Credit Card,Store Pickup,Yes,25.0,Cash,Monthly,0
43,Male,Footwear,81.0,Midwest,M,Fall,4.1,Yes,PayPal,Express,Yes,12.0,PayPal,Quarterly,0
39,Male,Clothing,86.0,Southeast,M,Winter,3.3,Yes,Credit Card,Free Shipping,Yes,4.0,Debit Card,Quarterly,0
68,Male,Footwear,43.0,West,M,Spring,4.7,Yes,Cash,Free Shipping,Yes,38.0,PayPal,Weekly,2
68,Male,Clothing,29.000000000000004,Southeast,M,Winter,4.4,Yes,Cash,Store Pickup,Yes,42.0,Bank Transfer,Weekly,2
49,Male,Outerwear,95.0,Southeast,M,Fall,3.8,Yes,Debit Card,Store Pickup,Yes,30.0,Venmo,Annually,1
63,Male,Clothing,28.0,Southeast,L,Fall,3.9,Yes,Bank Transfer,2-Day Shipping,Yes,50.0,Credit Card,Weekly,2
56,Male,Accessories,46.0,Southeast,M,Fall,4.9,Yes,PayPal,Free Shipping,Yes,45.0,PayPal,Weekly,2
37,Male,Outerwear,58.0,Midwest,L,Fall,3.1,Yes,PayPal,Free Shipping,Yes,33.0,Credit Card,Fortnightly,2
30,Male,Outerwear,48.0,Midwest,M,Fall,2.7,Yes,Bank Transfer,Store Pickup,Yes,25.0,PayPal,Quarterly,2
19,Male,Footwear,43.0,Northeast,M,Fall,3.2,Yes,Credit Card,Express,Yes,25.0,Cash,Monthly,2
24,Male,Accessories,95.0,Midwest,M,Fall,4.5,Yes,Venmo,Standard,Yes,44.0,Debit Card,Quarterly,1
52,Male,Clothing,30.0,West,S,Fall,4.0,Yes,Debit Card,Standard,Yes,21.0,Venmo,Fortnightly,3
63,Male,Footwear,64.0,West,M,Summer,3.5,Yes,Bank Transfer,2-Day Shipping,Yes,31.0,Bank Transfer,Fortnightly,1
37,Male,Accessories,90.0,West,M,Fall,2.6,Yes,PayPal,Store Pickup,Yes,47.0,Debit Card,Annually,1
38,Male,Clothing,76.0,Southeast,M,Summer,3.2,Yes,Venmo,Free Shipping,Yes,14.0,PayPal,Monthly,0
35,Male,Footwear,96.0,West,L,Fall,4.9,Yes,Bank Transfer,Standard,Yes,17.0,Debit Card,Every 3 Months,0
28,Male,Accessories,47.0,Midwest,L,Fall,4.5,Yes,Debit Card,Next Day Air,Yes,3.0,Venmo,Annually,3
30,Male,Clothing,85.0,Southeast,S,Summer,4.3,Yes,PayPal,Express,Yes,42.0,Venmo,Annually,1
69,Male,Clothing,55.0,Southeast,M,Winter,3.2,Yes,Debit Card,Standard,Yes,22.0,Debit Card,Annually,3
41,Male,Clothing,98.0,Southwest,M,Fall,3.6,Yes,Debit Card,Next Day Air,Yes,21.0,Venmo,Quarterly,0
63,Male,Clothing,77.0,Northeast,S,Spring,4.3,Yes,Cash,Free Shipping,Yes,21.0,Bank Transfer,Quarterly,0
35,Male,Clothing,26.0,Midwest,M,Fall,4.0,Yes,Venmo,Standard,Yes,40.0,Debit Card,Annually,2
36,Male,Accessories,68.0,Northeast,S,Fall,3.0,Yes,Debit Card,Next Day Air,Yes,1.0,Bank Transfer,Fortnightly,0
25,Male,Clothing,73.0,Northeast,XL,Fall,4.1,Yes,Bank Transfer,Standard,Yes,50.0,Bank Transfer,Monthly,1
58,Male,Accessories,27.0,Northeast,M,Fall,3.8,Yes,Debit Card,Store Pickup,Yes,39.0,Bank Transfer,Every 3 Months,2
27,Male,Accessories,23.0,Southwest,M,Summer,4.6,Yes,Bank Transfer,Free Shipping,Yes,34.0,Venmo,Monthly,2
65,Male,Accessories,49.0,Midwest,M,Fall,3.0,Yes,Venmo,Express,Yes,29.0,Venmo,Fortnightly,2
54,Male,Accessories,74.0,West,M,Summer,3.0,Yes,Credit Card,Store Pickup,Yes,31.0,PayPal,Bi-Weekly,1
54,Male,Clothing,67.0,Southeast,M,Summer,3.4,Yes,PayPal,Standard,Yes,8.0,Debit Card,Weekly,0
59,Male,Accessories,65.0,Southeast,S,Spring,2.6,Yes,Debit Card,Free Shipping,Yes,5.0,Credit Card,Fortnightly,0
42,Male,Accessories,60.0,Southeast,S,Winter,2.8,Yes,Credit Card,Store Pickup,Yes,7.0,Cash,Monthly,0
46,Male,Footwear,31.000000000000004,Southeast,XL,Fall,4.0,Yes,Cash,Store Pickup,Yes,30.0,Cash,Monthly,2
33,Male,Accessories,27.0,Southwest,M,Fall,4.0,Yes,Venmo,Express,Yes,14.0,Credit Card,Every 3 Months,3
34,Male,Footwear,80.0,Southwest,M,Summer,3.0,Yes,Bank Transfer,Express,Yes,5.0,Cash,Fortnightly,0
27,Male,Outerwear,30.0,West,S,Summer,3.3,Yes,Credit Card,Standard,Yes,3.0,PayPal,Every 3 Months,3
52,Male,Clothing,25.0,West,M,Fall,2.6,Yes,Venmo,Store Pickup,Yes,46.0,Venmo,Bi-Weekly,2
29,Male,Clothing,35.0,Southeast,M,Summer,3.6,Yes,Debit Card,Store Pickup,Yes,4.0,Credit Card,Weekly,3
54,Male,Accessories,67.0,Midwest,M,Summer,3.9,Yes,Bank Transfer,Next Day Air,Yes,42.0,Credit Card,Bi-Weekly,1
25,Male,Accessories,46.0,West,M,Fall,3.4,Yes,PayPal,Standard,Yes,30.0,Cash,Annually,2
41,Male,Footwear,35.0,Northeast,L,Winter,3.5,Yes,Venmo,Express,Yes,37.0,Venmo,Annually,2
53,Male,Outerwear,86.0,Southwest,L,Fall,2.8,Yes,Debit Card,Next Day Air,Yes,2.0,Bank Transfer,Annually,0
53,Male,Accessories,81.0,Northeast,L,Spring,2.7,Yes,Bank Transfer,Next Day Air,Yes,30.0,Credit Card,Quarterly,1
21,Male,Clothing,42.0,Midwest,L,Fall,3.7,Yes,Debit Card,Next Day Air,Yes,47.0,Bank Transfer,Monthly,2
61,Male,Clothing,43.0,West,L,Fall,4.3,Yes,Debit Card,2-Day Shipping,Yes,21.0,PayPal,Quarterly,3
64,Male,Footwear,31.000000000000004,Midwest,M,Fall,4.9,Yes,Debit Card,Store Pickup,Yes,9.0,Bank Transfer,Fortnightly,3
51,Male,Footwear,81.0,Midwest,L,Fall,3.3,Yes,Cash,Store Pickup,Yes,12.0,Debit Card,Fortnightly,0
32,Male,Clothing,61.0,Northeast,M,Summer,4.7,Yes,Venmo,Next Day Air,Yes,4.0,Bank Transfer,Weekly,0
38,Male,Accessories,96.0,Southeast,XL,Summer,2.8,Yes,Venmo,Store Pickup,Yes,10.0,Debit Card,Annually,0
58,Male,Clothing,29.000000000000004,Midwest,XL,Spring,3.6,Yes,Bank Transfer,2-Day Shipping,Yes,26.0,Credit Card,Weekly,2
32,Male,Footwear,33.0,West,L,Spring,3.0,Yes,Cash,Express,Yes,40.0,Cash,Fortnightly,2
46,Male,Clothing,32.0,Midwest,XL,Summer,4.5,Yes,Bank Transfer,Store Pickup,Yes,34.0,Bank Transfer,Fortnightly,2
39,Male,Accessories,56.0,Midwest,S,Summer,2.9,Yes,Debit Card,Standard,Yes,31.0,Debit Card,Annually,2
19,Male,Footwear,94.0,Southeast,S,Spring,3.3,Yes,Credit Card,Store Pickup,Yes,1.0,Bank Transfer,Bi-Weekly,0
50,Male,Clothing,53.0,Southwest,M,Spring,3.1,Yes,Credit Card,Express,Yes,5.0,Bank Transfer,Bi-Weekly,3
36,Male,Clothing,82.0,Southeast,M,Fall,4.4,Yes,Venmo,Next Day Air,Yes,4.0,Credit Card,Weekly,0
65,Male,Outerwear,70.0,Midwest,XL,Fall,3.0,Yes,Venmo,Free Shipping,Yes,48.0,Venmo,Quarterly,1
64,Male,Accessories,76.0,West,M,Fall,3.9,Yes,Credit Card,Free Shipping,Yes,29.0,Cash,Every 3 Months,1
46,Male,Footwear,29.000000000000004,Midwest,L,Summer,2.9,Yes,Venmo,Express,Yes,12.0,PayPal,Bi-Weekly,3
36,Male,Accessories,100.0,Midwest,S,Fall,3.0,Yes,PayPal,Standard,Yes,29.0,Venmo,Annually,1
51,Male,Accessories,94.0,Midwest,M,Spring,3.1,Yes,Venmo,Express,Yes,15.0,Debit Card,Quarterly,0
51,Male,Outerwear,25.0,Northeast,M,Fall,4.3,Yes,Credit Card,Free Shipping,Yes,34.0,Credit Card,Monthly,2
38,Male,Footwear,88.0,West,M,Summer,3.9,Yes,Cash,Next Day Air,Yes,41.0,Credit Card,Fortnightly,1
59,Male,Accessories,78.0,Southeast,M,Fall,3.2,Yes,Debit Card,2-Day Shipping,Yes,41.0,Credit Card,Monthly,1
57,Male,Accessories,45.0,West,M,Winter,4.8,Yes,Cash,Standard,Yes,39.0,Credit Card,Fortnightly,2
54,Male,Accessories,73.0,West,XL,Summer,3.8,Yes,Debit Card,Express,Yes,32.0,Cash,Weekly,1
25,Male,Clothing,61.0,Northeast,S,Summer,3.3,Yes,PayPal,Next Day Air,Yes,29.0,Venmo,Monthly,2
69,Male,Clothing,22.0,Midwest,S,Fall,4.3,Yes,Bank Transfer,Free Shipping,Yes,15.0,Bank Transfer,Annually,3
57,Male,Accessories,38.0,Midwest,L,Spring,2.7,Yes,Bank Transfer,Express,Yes,33.0,Venmo,Annually,2
70,Male,Accessories,38.0,Midwest,S,Fall,3.2,Yes,PayPal,Next Day Air,Yes,18.0,Bank Transfer,Weekly,3
24,Male,Footwear,100.0,West,M,Fall,4.0,Yes,PayPal,Store Pickup,Yes,35.0,Cash,Bi-Weekly,1
67,Male,Clothing,64.0,West,M,Winter,3.0,Yes,Bank Transfer,Standard,Yes,25.0,PayPal,Weekly,0
24,Male,Clothing,55.0,Midwest,L,Summer,4.2,Yes,Venmo,Free Shipping,Yes,6.0,Venmo,Fortnightly,3
62,Male,Accessories,91.0,Northeast,M,Summer,2.9,Yes,Venmo,Express,Yes,17.0,Bank Transfer,Bi-Weekly,0
57,Male,Clothing,38.0,Midwest,M,Spring,4.1,Yes,Cash,Store Pickup,Yes,17.0,Credit Card,Monthly,3
